,Paal,Nifal,Piel,Hifil,Hitpael,Hofal,Pual,Total,Common,Uncommon,Rank,Accompli,Inaccompli,Wayyiqtol,Impératif,Infinitif Absolu,Infinitif Construit,Participe Présent,Participe Présent Passif,Classe
אמר,5284,21,0,2,1,0,0,5308,5308,0,1,1166,270,2716,88,7,962,98,1,פ׳׳א
היה,3540,21,0,0,0,0,0,3561,3561,0,2,1420,946,1015,24,6,148,2,0,ע׳׳וי
עשׂה,2527,99,2,0,0,0,1,2629,2629,0,3,1019,574,361,99,15,301,244,16,ל׳׳ה
בוא,1997,0,0,549,0,24,0,2570,2570,0,4,673,505,679,89,11,327,277,9,ע׳׳וי
נתן,1920,82,0,0,0,8,0,2010,2010,0,5,831,441,356,79,15,161,115,12,פ׳׳נ
הלך,1412,1,25,45,64,0,0,1547,1547,0,6,226,312,395,251,47,143,173,0,פ׳׳ג
ראה,1125,101,0,62,5,4,1,1298,1298,0,7,397,240,291,148,8,127,85,2,ל׳׳ה
שׁמע,1051,43,2,63,0,0,0,1159,1159,0,8,351,215,149,219,17,130,78,0,ל׳׳ג
דבר,41,4,1092,2,2,0,2,1143,1143,0,9,438,171,251,84,11,105,81,2,Fort
ישׁב,1033,8,1,38,0,2,0,1082,1082,0,10,145,111,192,44,2,87,501,0,פ׳׳וי
יצא,784,0,0,279,0,5,0,1068,1068,0,11,275,193,267,58,7,120,144,4,פ׳׳וי
שׁוב,683,0,11,357,0,5,0,1056,1056,0,12,229,328,209,124,18,109,36,3,ע׳׳וי
לקח,938,10,0,0,2,6,8,965,964,1,13,250,173,341,127,4,53,15,2,ל׳׳ג
ידע,819,41,1,71,2,3,6,944,943,1,14,496,183,36,54,15,61,89,10,פ׳׳וי
עלה,606,18,0,262,1,3,0,890,890,0,15,237,170,220,74,4,99,86,0,ל׳׳ה
קרא,796,68,0,1,0,0,7,872,872,0,16,201,133,290,47,1,157,32,11,ל׳׳א
שׁלח,563,1,268,5,0,0,10,847,847,0,17,255,115,305,49,11,56,46,10,ל׳׳ג
מות,620,0,9,138,0,68,0,835,835,0,18,150,275,179,6,55,68,99,3,ע׳׳וי
אכל,740,45,0,20,0,0,4,810,809,1,19,183,343,88,33,19,75,68,1,פ׳׳א
נשׂא,596,34,12,2,9,0,0,653,653,0,20,130,166,131,62,4,48,104,8,פ׳׳נ
קום,460,0,15,146,5,3,0,629,629,0,21,111,130,196,101,4,52,35,0,ע׳׳וי
שׂים,579,0,0,3,0,1,0,583,583,0,22,186,125,154,57,3,38,16,4,ע׳׳וי
עבר,465,1,2,80,8,0,0,556,556,0,23,137,116,100,33,1,62,107,0,פ׳׳ג
עמד,434,0,0,85,0,2,0,521,521,0,24,101,94,145,20,2,41,117,1,פ׳׳ג
נכה,0,1,0,481,0,16,2,500,500,0,25,153,52,195,13,3,38,40,6,פ׳׳נ
צוה,0,0,485,0,0,0,9,494,494,0,26,326,29,73,15,0,6,45,0,ע׳׳וי
ילד,237,38,10,176,1,3,26,492,491,1,27,236,34,120,1,2,43,49,7,פ׳׳וי
שׁמר,427,37,1,0,3,0,0,468,468,0,28,120,101,11,58,5,62,108,3,Fort
מצא,306,140,0,7,0,0,0,453,453,0,29,196,126,57,5,0,15,54,0,ל׳׳א
נפל,367,0,1,61,5,0,0,434,434,0,30,135,120,105,4,1,24,45,0,פ׳׳נ
ענה,329,9,60,6,6,0,4,414,414,0,31,80,99,163,25,1,26,19,1,ל׳׳ה
ירד,304,0,0,67,0,6,0,377,377,0,32,108,64,97,33,2,25,48,0,פ׳׳וי
בנה,346,30,0,0,0,0,0,376,376,0,33,119,66,84,8,1,64,30,4,ל׳׳ה
נגד,0,0,0,335,0,35,0,370,370,0,34,72,77,125,43,6,27,20,0,פ׳׳נ
מלך,297,1,0,49,0,1,0,348,348,0,35,126,25,112,4,2,73,6,0,Fort
ירא,282,45,5,0,0,0,0,332,332,0,36,45,153,45,7,0,20,62,0,פ׳׳וי
ברך,73,3,233,1,7,0,13,330,330,0,37,57,78,56,30,9,17,6,77,Fort
פקד,234,21,1,29,4,8,2,303,299,4,38,91,53,33,12,5,12,11,86,Fort
סור,158,0,1,133,0,5,0,297,297,0,39,109,68,40,39,4,24,11,2,ע׳׳וי
מלא,143,36,111,0,1,0,1,292,292,0,40,120,46,34,13,1,26,51,1,ל׳׳א
חזק,82,0,64,117,27,0,0,290,290,0,41,97,39,64,45,1,19,25,0,פ׳׳ג
עבד,270,4,0,8,0,4,2,288,288,0,42,76,75,40,20,0,48,29,0,פ׳׳ג
כרת,134,73,0,78,0,1,2,288,288,0,43,124,77,39,6,2,30,7,3,Fort
איב,283,0,0,0,0,0,0,283,283,0,44,1,0,0,0,0,0,282,0,פ׳׳א
חיה,204,0,56,23,0,0,0,283,283,0,45,59,119,48,25,12,18,2,0,ע׳׳וי
קרב,94,2,8,177,0,0,0,281,281,0,46,82,85,55,19,3,25,12,0,Fort
חטא,181,0,15,32,9,0,0,237,237,0,47,146,46,9,0,0,17,19,0,ל׳׳א
זכר,171,20,0,40,0,0,0,231,231,0,48,58,73,11,51,8,13,17,0,Fort
ירשׁ,159,4,2,66,0,0,0,231,231,0,49,69,51,25,7,3,61,15,0,פ׳׳וי
בקשׁ,0,0,222,0,0,0,3,225,225,0,50,37,52,29,12,1,31,63,0,Fort
רבה,60,0,4,161,0,0,0,225,225,0,51,58,58,21,14,53,10,11,0,ל׳׳ה
כתב,204,17,2,0,0,0,0,223,223,0,52,28,20,33,17,1,4,7,113,Fort
שׁתה,216,1,0,0,0,0,0,217,217,0,53,32,73,25,16,9,42,20,0,ל׳׳ה
כון,0,67,29,108,4,6,2,216,216,0,54,74,49,20,20,1,12,38,2,ע׳׳וי
עזב,205,9,0,0,0,0,2,216,216,0,55,79,59,32,5,2,9,16,14,פ׳׳ג
נטה,136,3,0,75,0,0,0,214,214,0,56,58,27,39,31,0,15,15,29,פ׳׳נ
נצל,0,15,4,191,1,2,0,213,213,0,57,54,60,19,29,5,26,18,2,פ׳׳נ
שׁכב,198,2,0,8,0,3,1,212,212,0,58,40,49,64,11,2,17,28,1,Fort
יסף,32,6,0,174,0,0,0,212,212,0,59,39,118,45,2,0,4,4,0,פ׳׳וי
אהב,194,1,16,0,0,0,0,211,211,0,60,71,13,17,5,0,18,82,5,פ׳׳א
כלה,64,0,141,0,0,0,1,206,206,0,61,76,30,30,4,6,57,3,0,ל׳׳ה
ישׁע,0,21,0,184,0,0,0,205,205,0,62,28,65,20,32,3,22,35,0,פ׳׳וי
אסף,109,81,8,0,1,0,5,204,204,0,63,60,37,53,20,4,11,17,2,פ׳׳א
שׁפט,184,17,0,0,0,0,0,202,201,1,64,37,48,14,12,1,16,74,0,Fort
יכל,193,0,0,0,0,0,0,193,193,0,65,51,132,4,0,4,2,0,0,פ׳׳וי
רום,68,0,25,88,2,3,2,188,188,0,66,34,68,14,18,0,15,38,1,ע׳׳וי
גלה,50,32,57,38,2,7,2,188,188,0,67,86,35,21,6,4,17,11,8,ל׳׳ה
אבד,119,0,41,26,0,0,0,186,186,0,68,74,50,10,0,7,27,18,0,פ׳׳א
שׁבע,0,154,0,31,0,0,0,185,185,0,69,110,13,34,7,3,5,13,0,ל׳׳ג
לחם,10,167,0,0,0,0,0,177,177,0,70,42,18,36,7,1,48,24,1,ע׳׳ג
חוה,0,0,6,0,0,0,0,176,6,170,71,19,41,80,7,0,19,10,0,ע׳׳וי
רעה,173,0,1,0,1,0,0,175,175,0,72,12,35,7,6,0,8,107,0,ל׳׳ה
קדשׁ,11,11,75,45,24,0,5,171,171,0,73,60,25,19,20,1,22,19,5,Fort
שׁאל,162,5,2,2,0,0,0,171,171,0,74,53,24,40,23,5,14,10,2,ע׳׳ג
בין,64,22,1,61,22,0,0,170,170,0,75,14,64,11,21,1,10,49,0,ע׳׳וי
בחר,162,7,0,0,0,0,0,169,169,0,76,70,46,19,5,3,1,8,17,ע׳׳ג
שׁבר,68,57,36,6,0,1,0,168,168,0,77,62,43,20,7,1,15,19,1,Fort
הרג,162,3,0,0,0,0,2,167,167,0,78,60,27,31,6,4,22,9,8,פ׳׳ג
הלל,4,0,117,4,29,0,11,165,165,0,79,9,54,7,55,2,18,12,8,ע׳׳ע
דרשׁ,155,9,0,0,0,0,0,164,164,0,80,39,41,4,17,3,36,22,2,Fort
טמא,77,18,51,0,14,0,1,162,161,1,81,74,58,11,1,1,14,2,1,ל׳׳א
סבב,90,20,13,32,0,6,0,161,161,0,82,46,41,39,12,0,5,13,5,ע׳׳ע
נוס,155,0,1,3,0,0,0,159,159,0,83,47,25,54,5,1,17,10,0,פ׳׳נ
שׂמח,126,0,27,1,0,0,0,154,154,0,84,34,75,21,15,1,5,3,0,ל׳׳ג
כסה,3,3,131,0,8,0,7,152,152,0,85,44,38,29,1,0,15,22,3,ל׳׳ה
נגע,107,1,3,38,0,0,1,150,150,0,86,30,40,19,3,0,11,45,2,פ׳׳נ
נסע,136,2,0,8,0,0,0,146,146,0,87,28,21,81,4,1,7,4,0,פ׳׳נ
שׂנא,129,2,15,0,0,0,0,146,146,0,88,45,9,4,2,1,7,69,9,ל׳׳א
שׁחת,0,6,39,98,0,2,0,145,145,0,89,35,33,12,3,1,39,20,2,ע׳׳ג
חנה,143,0,1,0,0,0,0,144,144,0,90,8,17,92,3,0,5,19,0,ל׳׳ה
פתח,97,18,27,0,1,0,1,144,144,0,91,37,36,25,10,4,9,9,14,ל׳׳ג
רדף,131,2,8,1,0,0,1,143,143,0,92,21,29,34,8,0,9,42,0,Fort
חלל,1,9,71,57,0,1,3,142,142,0,93,61,27,20,2,1,18,10,3,ע׳׳ע
נוח,33,0,0,104,0,5,0,142,142,0,94,50,31,31,11,6,8,2,3,פ׳׳נ
פנה,117,0,8,8,0,2,0,135,135,0,95,30,20,35,16,1,10,22,1,ל׳׳ה
זבח,112,0,22,0,0,0,0,134,134,0,96,14,35,33,3,0,18,31,0,ל׳׳ג
קבר,87,39,6,0,0,0,1,133,133,0,97,18,17,72,6,1,10,7,2,Fort
שׁאר,1,94,0,38,0,0,0,133,133,0,98,68,16,4,0,0,1,44,0,ע׳׳ג
שׁכן,111,0,12,6,0,0,0,129,129,0,99,30,46,9,4,0,17,23,0,Fort
קבץ,38,31,49,0,8,0,1,127,127,0,100,29,29,36,11,1,8,11,2,Fort
שׁלך,0,0,0,112,0,13,0,125,125,0,101,34,20,46,10,2,4,3,6,Fort
נגשׁ,68,17,0,37,1,2,0,125,125,0,102,22,19,45,23,0,9,6,1,פ׳׳נ
חשׁב,77,30,16,0,1,0,0,124,124,0,103,46,38,7,0,0,4,29,0,פ׳׳ג
לכד,83,36,0,0,2,0,0,121,121,0,104,39,20,54,2,1,2,3,0,Fort
בטח,113,0,0,5,0,0,0,118,118,0,105,37,21,10,9,1,3,37,0,ל׳׳ג
גדל,54,0,25,33,4,0,1,117,117,0,106,47,31,25,1,3,6,3,1,Fort
יטב,44,0,0,73,0,0,0,117,117,0,107,12,47,19,8,13,12,6,0,פ׳׳וי
שׂרף,102,14,0,0,0,0,1,117,117,0,108,46,34,22,0,1,6,3,5,Fort
שׁלם,8,0,89,13,0,1,5,116,116,0,109,19,64,7,7,5,4,8,2,Fort
קטר,0,0,42,70,0,2,1,115,115,0,110,34,16,18,2,3,21,19,2,Fort
נבא,0,87,0,0,28,0,0,115,115,0,111,16,11,13,28,0,8,39,0,פ׳׳נ
שׁפך,101,8,0,0,3,0,3,115,115,0,112,34,29,13,7,0,19,10,3,Fort
ידה,1,0,2,100,11,0,0,114,114,0,113,10,56,3,19,0,20,6,0,פ׳׳וי
בכה,112,0,2,0,0,0,0,114,114,0,114,9,23,50,3,9,5,15,0,ל׳׳ה
גאל,96,11,1,0,2,0,4,114,114,0,115,19,28,3,4,3,4,47,6,ע׳׳ג
כבד,22,30,38,17,2,0,3,113,112,1,116,27,35,9,8,5,4,24,1,Fort
רעע,37,2,0,68,2,0,0,109,109,0,117,30,29,16,1,3,12,18,0,ע׳׳ע
בושׁ,95,0,2,11,1,0,0,109,109,0,118,28,62,2,4,2,4,7,0,ע׳׳וי
ספר,28,8,67,0,0,0,5,108,108,0,119,15,45,23,9,0,9,7,0,Fort
נחם,0,48,51,0,7,0,2,108,108,0,120,29,25,15,4,0,16,19,0,פ׳׳נ
יתר,0,82,0,24,0,0,0,106,106,0,121,25,13,11,1,3,1,52,0,פ׳׳וי
אמן,8,46,0,51,0,0,0,105,105,0,122,23,33,5,2,0,0,41,1,פ׳׳א
רוץ,97,0,1,6,0,0,0,104,104,0,123,6,30,27,5,0,3,33,0,ע׳׳וי
שׁכח,88,13,1,1,1,0,0,104,104,0,124,43,43,9,1,1,1,6,0,ל׳׳ג
כפר,1,0,92,0,1,0,7,102,101,1,125,38,24,3,5,0,32,0,0,Fort
גור,96,0,0,0,3,0,0,99,99,0,126,8,28,6,4,1,18,34,0,ע׳׳וי
משׁל,87,5,1,4,1,0,0,98,98,0,127,16,18,2,3,2,9,48,0,Fort
לבשׁ,61,0,0,32,0,0,4,97,97,0,128,29,28,21,7,2,3,2,5,Fort
שׁרת,0,0,97,0,0,0,0,97,97,0,129,3,13,4,0,0,32,45,0,Fort
שׂבע,79,0,2,16,0,0,0,97,97,0,130,28,53,7,2,2,3,2,0,ל׳׳ג
מלט,0,63,28,2,2,0,0,95,95,0,131,22,37,16,10,1,4,5,0,Fort
טהר,34,0,40,0,19,0,1,94,94,0,132,45,11,6,4,0,11,16,1,ע׳׳ג
זנה,84,0,0,9,0,0,1,94,94,0,133,16,7,19,0,2,8,42,0,ל׳׳ה
הפך,55,34,0,0,4,1,0,94,94,0,134,53,9,14,2,2,4,8,2,פ׳׳ג
בער,41,4,40,8,0,0,1,94,94,0,135,41,16,9,0,1,8,18,1,ע׳׳ג
חרה,83,2,0,2,4,0,0,93,91,2,136,23,16,48,0,1,2,3,0,ל׳׳ה
שׁמד,0,21,0,69,0,0,0,90,90,0,137,28,17,8,1,2,34,0,0,Fort
שׁיר,50,0,37,0,0,1,0,88,88,0,138,2,21,1,15,1,1,47,0,ע׳׳וי
עור,21,8,19,33,5,0,0,86,86,0,139,19,29,4,23,0,2,9,0,ע׳׳וי
למד,24,0,57,0,0,0,5,86,86,0,140,15,24,8,14,3,9,8,5,Fort
שׁמם,33,24,4,17,5,3,0,86,86,0,141,31,14,4,2,1,3,31,0,Fort
שׁית,83,0,0,0,0,2,0,85,85,0,142,21,41,10,10,1,2,0,0,ע׳׳וי
שׁחט,82,3,0,0,0,0,0,85,85,0,143,25,16,28,2,1,3,2,8,ע׳׳ג
מהר,3,4,77,0,0,0,0,84,84,0,144,12,10,23,15,15,3,6,0,ע׳׳ג
פלל,0,0,4,0,80,0,0,84,84,0,145,18,17,25,7,0,10,7,0,ע׳׳ע
צפה,29,0,53,0,0,0,2,84,84,0,146,22,7,21,1,2,0,28,3,ל׳׳ה
קנה,81,2,0,1,0,0,0,84,84,0,147,27,11,7,12,3,11,13,0,ל׳׳ה
סגר,36,8,4,30,0,0,5,83,83,0,148,36,18,13,4,0,4,2,6,Fort
קלל,12,11,42,13,1,0,3,82,82,0,149,26,18,9,8,0,7,13,1,ע׳׳ע
ירה,16,1,0,64,0,0,0,81,81,0,150,13,33,7,6,1,8,13,0,פ׳׳וי
עזר,76,4,0,1,0,0,0,81,81,0,151,17,11,6,6,0,18,22,1,פ׳׳ג
סתר,0,30,1,44,5,0,1,81,81,0,152,23,32,8,3,3,2,9,1,Fort
יעץ,57,22,0,0,1,0,0,80,80,0,153,28,8,12,0,0,0,31,1,פ׳׳וי
מכר,57,19,0,0,4,0,0,80,80,0,154,35,17,9,2,2,6,9,0,Fort
חפץ,78,0,0,0,0,0,0,78,78,0,155,49,24,0,0,1,0,4,0,פ׳׳ג
חנן,55,1,3,0,17,2,0,78,78,0,156,13,21,6,25,1,4,8,0,פ׳׳ג
רכב,58,0,0,20,0,0,0,78,78,0,157,7,10,20,2,0,2,37,0,Fort
מאס,72,5,0,0,0,0,0,77,77,0,158,36,17,11,0,5,2,6,0,ע׳׳ג
יבשׁ,40,0,3,34,0,0,0,77,77,0,159,51,16,6,0,2,2,0,0,פ׳׳וי
ערך,69,0,0,6,0,0,0,75,75,0,160,17,18,20,3,1,5,4,7,פ׳׳ג
חלה,36,10,18,4,3,3,1,75,75,0,161,32,2,6,3,0,7,25,0,ל׳׳ה
נצב,0,51,0,21,0,2,0,74,74,0,162,13,3,10,1,0,2,44,1,פ׳׳נ
חרשׁ,31,2,0,40,1,0,0,74,74,0,163,12,29,4,6,3,1,18,1,פ׳׳ג
זעק,60,6,0,7,0,0,0,73,73,0,164,12,15,34,7,0,5,0,0,ע׳׳ג
פלא,0,57,3,12,1,0,0,73,73,0,165,8,9,1,1,2,5,47,0,ל׳׳א
רחץ,69,0,0,0,1,0,2,72,72,0,166,39,10,8,5,0,8,2,0,ע׳׳ג
צרר,58,0,0,12,0,0,1,71,71,0,167,22,7,7,1,1,4,24,5,ע׳׳ע
שׁבת,27,4,0,40,0,0,0,71,71,0,168,44,16,6,1,0,2,2,0,Fort
לין,68,0,0,0,2,0,0,70,70,0,169,4,38,13,7,0,7,1,0,ע׳׳וי
אסר,63,5,0,0,0,0,2,70,70,0,170,16,8,18,5,2,6,1,14,פ׳׳א
משׁח,64,5,0,0,0,0,0,69,69,0,171,30,5,16,2,1,8,1,6,ל׳׳ג
נבט,0,0,1,68,0,0,0,69,69,0,172,11,23,8,20,0,6,1,0,פ׳׳נ
שׁקה,0,0,0,67,0,0,1,68,68,0,173,15,16,16,5,0,7,9,0,ל׳׳ה
אחז,59,7,1,0,0,1,0,68,68,0,174,19,12,11,7,0,5,4,10,פ׳׳א
פרשׂ,57,1,9,0,0,0,0,67,67,0,175,26,11,16,0,0,2,9,3,Fort
ריב,65,0,0,2,0,0,0,67,67,0,176,7,28,10,9,3,5,5,0,ע׳׳וי
תקע,64,3,0,0,0,0,0,67,67,0,177,22,9,17,8,2,2,6,1,ל׳׳ג
צלח,25,0,0,40,0,0,0,65,65,0,178,16,25,11,8,0,0,5,0,ל׳׳ג
שׁכם,0,0,0,65,0,0,0,65,65,0,179,6,3,36,3,13,0,4,0,Fort
ברח,59,0,0,6,0,0,0,65,65,0,180,13,8,22,5,1,10,6,0,ל׳׳ג
תפשׂ,49,15,1,0,0,0,0,65,65,0,181,17,7,15,6,1,8,10,1,Fort
פוץ,12,16,0,36,0,0,0,65,64,1,182,29,15,10,2,0,3,6,0,ע׳׳וי
חלק,21,6,26,8,1,0,3,65,65,0,183,19,24,11,2,0,5,4,0,פ׳׳ג
רפא,38,16,8,0,3,0,0,65,65,0,184,13,19,7,5,2,10,9,0,ל׳׳א
נצח,0,1,64,0,0,0,0,65,65,0,185,0,0,0,0,0,5,60,0,פ׳׳נ
תמם,53,0,0,8,2,0,0,63,63,0,186,23,12,4,1,0,23,0,0,Fort
ארר,54,1,7,0,0,1,0,63,63,0,187,3,5,0,4,1,0,10,40,פ׳׳א
קרע,58,5,0,0,0,0,0,63,63,0,188,16,8,26,2,1,2,1,7,ל׳׳ג
דרך,49,0,0,13,0,0,0,62,62,0,189,20,19,3,2,0,0,16,2,Fort
כשׁל,29,23,0,9,0,1,0,62,62,0,190,27,19,2,0,1,4,8,1,Fort
שׂכל,1,0,2,59,0,0,0,62,62,0,191,10,16,0,1,6,8,21,0,Fort
נצר,62,0,0,0,0,0,0,62,62,0,192,5,28,0,6,1,1,16,5,פ׳׳נ
נחל,30,0,4,17,7,1,0,59,59,0,193,21,27,2,0,1,7,1,0,פ׳׳נ
